Record,Server Address,first
160,151.101.0.70,1
161,151.101.0.70,1
162,216.58.218.110,2
163,216.58.218.110,2
164,34.239.253.124,3
165,172.217.9.174,1
166,192.168.0.9,1
167,172.217.9.174,1
168,151.101.0.70,1
169,151.101.0.70,1
170,34.239.253.124,3
171,34.239.253.124,3
172,151.101.0.70,1
173,151.101.0.70,1
174,192.168.0.9,1
175,34.239.253.124,3
176,173.194.78.189,1
177,151.101.0.70,1
178,151.101.0.70,1
179,34.239.253.124,3
180,192.168.0.9,1
181,131.253.61.96,1
182,131.253.61.96,1
183,173.194.78.189,1
184,34.239.253.124,3
185,173.194.78.189,1
186,151.101.0.70,1
187,151.101.0.70,1
188,173.194.78.189,1
189,34.239.253.124,3
190,151.101.0.70,1
191,151.101.0.70,1
192,192.168.0.9,1
193,34.239.253.124,3
194,104.96.86.61,1
195,104.96.86.61,1
196,35.186.244.130,3
197,151.101.0.70,1
198,151.101.0.70,1
199,172.217.12.46,1
200,172.217.9.142,1
201,34.239.253.124,3
202,192.168.0.9,1
203,151.101.0.70,1
204,151.101.0.70,1
205,173.194.78.189,1
206,173.194.78.189,1
207,34.239.253.124,3
208,131.253.61.96,1
209,131.253.61.96,1
210,131.253.61.96,1
211,131.253.61.96,1
212,131.253.61.96,1
213,131.253.61.96,1
214,131.253.61.96,1
215,34.239.253.124,3
216,173.194.78.189,1
217,131.253.61.96,1
218,131.253.61.96,1
219,131.253.61.96,1
220,131.253.61.96,1
221,131.253.61.96,1
222,131.253.61.96,1
223,151.101.0.70,1
224,151.101.0.70,1
225,173.194.78.189,1
226,131.253.61.96,1
227,131.253.61.96,1
228,131.253.61.96,1
229,131.253.61.96,1
230,131.253.61.96,1
231,131.253.61.96,1
232,131.253.61.96,1
233,131.253.61.96,1
234,131.253.61.96,1
235,131.253.61.96,1
236,131.253.61.96,1
237,131.253.61.96,1
238,131.253.61.96,1
239,131.253.61.96,1
240,131.253.61.96,1
241,131.253.61.96,1
242,131.253.61.96,1
243,131.253.61.96,1
244,131.253.61.96,1
245,131.253.61.96,1
246,131.253.61.96,1
247,131.253.61.96,1
248,131.253.61.96,1
249,131.253.61.96,1
250,131.253.61.96,1
251,131.253.61.96,1
252,131.253.61.96,1
253,131.253.61.96,1
254,131.253.61.96,1
255,131.253.61.96,1
256,131.253.61.96,1
257,131.253.61.96,1
258,131.253.61.96,1
259,131.253.61.96,1
260,131.253.61.96,1
261,131.253.61.96,1
262,131.253.61.96,1
263,131.253.61.96,1
264,131.253.61.96,1
265,131.253.61.96,1
266,131.253.61.96,1
267,131.253.61.96,1
268,131.253.61.96,1
269,131.253.61.96,1
270,131.253.61.96,1
271,131.253.61.96,1
272,131.253.61.96,1
273,131.253.61.96,1
274,131.253.61.96,1
275,131.253.61.96,1
276,131.253.61.96,1
277,131.253.61.96,1
278,131.253.61.96,1
279,131.253.61.96,1
280,131.253.14.230,1
281,131.253.14.230,1
282,131.253.61.96,1
283,131.253.61.96,1
284,131.253.61.96,1
285,131.253.61.96,1
286,23.210.160.226,2
287,131.253.61.96,1
288,131.253.61.96,1
289,131.253.61.96,1
290,131.253.61.96,1
291,131.253.61.96,1
292,131.253.61.96,1
293,192.168.0.9,1
294,173.194.78.189,1
295,173.194.78.189,1
296,34.239.253.124,3
297,173.194.78.189,1
298,151.101.0.70,1
299,173.194.78.189,1
300,34.239.253.124,3
301,172.217.9.174,1
302,172.217.1.227,1
303,172.217.1.227,1
304,131.253.61.96,1
305,131.253.61.96,1
306,131.253.61.96,1
307,131.253.61.96,1
308,131.253.61.96,1
309,192.168.0.9,1
310,151.101.0.70,1
311,34.239.253.124,3
312,35.186.244.130,3
313,91.225.248.133,9
314,35.186.244.130,3
315,144.2.1.1,1
316,144.2.1.1,1
317,172.217.12.46,1
318,104.225.10.227,1
319,13.107.3.128,1
320,34.239.253.124,3
321,173.194.78.189,1
322,173.194.78.189,1
323,151.101.0.70,1
324,172.217.6.142,1
325,172.217.12.46,1
326,192.168.0.9,1
327,34.239.253.124,3
328,151.101.0.70,1
329,34.239.253.124,3
330,173.194.78.189,1
331,173.194.78.189,1
332,192.168.0.9,1
333,151.101.0.70,1
334,162.254.193.7,1
335,162.254.193.7,1
336,162.254.193.7,1
337,162.254.193.7,1
338,162.254.193.7,1
339,162.254.193.7,1
340,162.254.193.7,1
341,162.254.193.7,1
342,162.254.193.7,1
343,162.254.193.7,1
344,162.254.193.7,1
345,162.254.193.7,1
346,8.8.8.8,8
347,4.2.2.2,4
348,8.8.8.8,8
349,23.23.118.28,2
350,23.23.118.28,2
351,23.23.118.28,2
352,54.221.220.135,5
353,107.21.104.168,1
354,54.221.220.135,5
355,23.21.102.30,2
356,23.21.102.30,2
357,23.21.102.30,2
358,23.21.102.30,2
359,54.221.220.135,5
360,107.21.104.168,1
361,54.221.220.135,5
362,54.221.220.135,5
363,34.239.253.124,3
364,54.221.220.135,5
365,172.217.9.142,1
366,172.217.9.142,1
367,23.23.118.28,2
368,23.23.118.28,2
369,23.23.118.28,2
370,23.23.118.28,2
371,23.23.118.28,2
372,23.23.118.28,2
373,23.23.118.28,2
374,23.23.118.28,2
375,23.23.118.28,2
376,23.23.118.28,2
377,23.23.118.28,2
378,23.23.118.28,2
379,23.23.118.28,2
380,23.23.118.28,2
381,23.23.118.28,2
382,23.23.118.28,2
383,23.23.118.28,2
384,23.23.118.28,2
385,23.23.118.28,2
386,23.23.118.28,2
387,23.23.118.28,2
388,23.23.118.28,2
389,23.23.118.28,2
390,23.23.118.28,2
391,192.168.0.9,1
392,23.23.118.28,2
393,23.23.118.28,2
394,23.23.118.28,2
395,23.23.118.28,2
396,23.23.118.28,2
397,23.23.118.28,2
398,34.239.253.124,3
399,23.23.118.28,2
400,23.23.118.28,2
401,23.23.118.28,2
402,23.23.118.28,2
403,23.23.118.28,2
404,23.23.118.28,2
405,23.23.118.28,2
406,23.23.118.28,2
407,23.23.118.28,2
408,23.23.118.28,2
409,23.23.118.28,2
410,23.23.118.28,2
411,23.23.118.28,2
412,23.23.118.28,2
413,23.23.118.28,2
414,23.23.118.28,2
415,23.23.118.28,2
416,23.23.118.28,2
417,23.23.118.28,2
418,23.23.118.28,2
419,23.23.118.28,2
420,23.23.118.28,2
421,23.23.118.28,2
422,23.23.118.28,2
423,23.23.118.28,2
424,23.23.118.28,2
425,23.23.118.28,2
426,23.23.118.28,2
427,23.23.118.28,2
428,23.23.118.28,2
429,23.23.118.28,2
430,23.23.118.28,2
431,23.23.118.28,2
432,23.23.118.28,2
433,23.23.118.28,2
434,23.23.118.28,2
435,23.23.118.28,2
436,23.23.118.28,2
437,23.23.118.28,2
438,23.23.118.28,2
439,23.23.118.28,2
440,23.23.118.28,2
441,23.23.118.28,2
442,23.23.118.28,2
443,23.23.118.28,2
444,23.23.118.28,2
445,23.23.118.28,2
446,23.23.118.28,2
447,23.23.118.28,2
448,23.23.118.28,2
449,23.23.118.28,2
450,23.23.118.28,2
451,23.23.118.28,2
452,23.23.118.28,2
453,23.23.118.28,2
454,23.23.118.28,2
455,23.23.118.28,2
456,23.23.118.28,2
457,23.23.118.28,2
458,23.23.118.28,2
459,23.23.118.28,2
460,23.23.118.28,2
461,23.23.118.28,2
462,23.23.118.28,2
463,23.23.118.28,2
464,23.23.118.28,2
465,23.23.118.28,2
466,23.23.118.28,2
467,23.23.118.28,2
468,23.23.118.28,2
469,23.23.118.28,2
470,23.23.118.28,2
471,23.23.118.28,2
472,23.23.118.28,2
473,23.23.118.28,2
474,23.23.118.28,2
475,23.23.118.28,2
476,23.23.118.28,2
477,23.23.118.28,2
478,23.23.118.28,2
479,23.23.118.28,2
480,23.23.118.28,2
481,23.23.118.28,2
482,23.23.118.28,2
483,23.23.118.28,2
484,23.23.118.28,2
485,23.23.118.28,2
486,23.23.118.28,2
487,23.23.118.28,2
488,23.23.118.28,2
489,23.23.118.28,2
490,23.23.118.28,2
491,23.23.118.28,2
492,23.23.118.28,2
493,23.23.118.28,2
494,23.23.118.28,2
495,23.23.118.28,2
496,23.23.118.28,2
497,23.23.118.28,2
498,23.23.118.28,2
499,23.23.118.28,2
500,23.23.118.28,2
501,23.23.118.28,2
502,23.23.118.28,2
503,23.23.118.28,2
504,23.23.118.28,2
505,23.23.118.28,2
506,23.23.118.28,2
507,23.23.118.28,2
508,23.23.118.28,2
509,23.23.118.28,2
510,23.23.118.28,2
511,23.23.118.28,2
512,23.23.118.28,2
513,23.23.118.28,2
514,34.239.253.124,3
515,23.23.118.28,2
516,23.23.118.28,2
517,23.23.118.28,2
518,23.23.118.28,2
519,23.23.118.28,2
520,23.23.118.28,2
521,23.23.118.28,2
522,23.23.118.28,2
523,23.23.118.28,2
524,23.23.118.28,2
525,23.23.118.28,2
526,23.23.118.28,2
527,23.23.118.28,2
528,23.23.118.28,2
529,23.23.118.28,2
530,23.23.118.28,2
531,23.23.118.28,2
532,23.23.118.28,2
533,23.23.118.28,2
534,23.23.118.28,2
535,23.23.118.28,2
536,23.23.118.28,2
537,216.58.194.69,2
538,23.23.118.28,2
539,23.23.118.28,2
540,23.23.118.28,2
541,23.23.118.28,2
542,23.23.118.28,2
543,23.23.118.28,2
544,23.23.118.28,2
545,23.21.102.30,2
546,23.23.118.28,2
547,23.21.102.30,2
548,23.23.118.28,2
549,23.23.118.28,2
550,23.23.118.28,2
551,23.23.118.28,2
552,23.23.118.28,2
553,23.23.118.28,2
554,23.23.118.28,2
555,23.23.118.28,2
556,23.23.118.28,2
557,23.23.118.28,2
558,216.58.218.110,2
559,216.58.218.110,2
560,172.217.14.174,1
561,172.217.14.174,1
562,23.21.102.30,2
563,54.221.220.135,5
564,192.168.0.9,1
565,34.239.253.124,3
566,54.221.220.135,5
567,23.23.118.28,2
568,107.21.104.168,1
569,23.23.118.28,2
570,23.23.118.28,2
571,23.23.118.28,2
572,23.23.118.28,2
573,23.23.118.28,2
574,23.23.118.28,2
575,172.24.1.81,1
576,172.22.1.81,1
577,172.22.1.80,1
578,172.22.1.80,1
579,172.22.1.80,1
580,23.23.118.28,2
581,172.23.1.80,1
582,172.23.1.81,1
583,172.24.1.80,1
584,172.24.1.81,1
585,172.22.1.81,1
586,172.22.1.80,1
587,172.24.1.81,1
588,172.22.1.90,1
589,172.24.1.81,1
590,172.22.1.90,1
591,172.22.1.81,1
592,172.24.1.81,1
593,172.22.1.80,1
594,172.24.1.80,1
595,172.22.1.80,1
596,172.22.1.80,1
597,172.22.1.80,1
598,172.23.1.81,1
599,172.24.1.80,1
600,172.22.1.90,1
601,172.23.1.81,1
602,172.23.1.80,1
603,172.24.1.81,1
604,23.23.118.28,2
605,172.23.1.81,1
606,172.22.1.81,1
607,172.23.1.80,1
608,172.24.1.81,1
609,172.22.1.80,1
610,172.22.1.90,1
611,172.22.1.90,1
612,172.22.1.81,1
613,172.22.1.80,1
614,172.24.1.81,1
615,172.22.1.90,1
616,172.23.1.81,1
617,172.22.1.81,1
618,172.22.1.81,1
619,172.23.1.80,1
620,172.24.1.81,1
621,172.24.1.81,1
622,172.24.1.81,1
623,50.17.246.68,5
624,50.17.246.68,5
625,54.225.191.62,5
626,50.17.246.68,5
627,50.17.246.68,5
628,23.23.118.28,2
629,50.17.246.68,5
630,50.17.246.68,5
631,54.225.191.62,5
632,50.17.246.68,5
633,23.23.118.28,2
634,50.17.246.68,5
635,172.23.1.81,1
636,172.24.1.81,1
637,172.22.1.90,1
638,172.22.1.80,1
639,172.24.1.81,1
640,172.23.1.80,1
641,172.22.1.90,1
642,172.22.1.90,1
643,172.24.1.81,1
644,172.22.1.81,1
645,172.24.1.81,1
646,172.24.1.81,1
647,172.22.1.80,1
648,172.23.1.80,1
649,172.22.1.81,1
650,172.22.1.90,1
651,172.24.1.81,1
652,172.22.1.80,1
653,172.24.1.80,1
654,172.22.1.81,1
655,172.22.1.81,1
656,172.22.1.80,1
657,172.22.1.81,1
658,172.23.1.81,1
659,172.24.1.81,1
660,172.22.1.80,1
661,172.23.1.81,1
662,172.24.1.81,1
663,172.22.1.80,1
664,172.22.1.90,1
665,172.24.1.81,1
666,172.22.1.80,1
667,172.22.1.80,1
668,172.22.1.81,1
669,172.24.1.81,1
670,172.22.1.90,1
671,172.22.1.90,1
672,172.24.1.81,1
673,172.23.1.80,1
674,34.239.253.124,3
675,23.21.102.30,2
676,172.22.1.80,1
677,172.23.1.80,1
678,172.24.1.81,1
679,172.24.1.81,1
680,172.22.1.81,1
681,172.24.1.81,1
682,172.22.1.81,1
683,172.22.1.90,1
684,172.22.1.80,1
685,172.23.1.80,1
686,172.24.1.81,1
687,172.22.1.90,1
688,172.24.1.81,1
689,172.22.1.81,1
690,172.22.1.81,1
691,172.22.1.80,1
692,172.23.1.80,1
693,172.22.1.81,1
694,172.24.1.81,1
695,172.22.1.80,1
696,172.22.1.90,1
697,172.24.1.81,1
698,172.24.1.81,1
699,172.24.1.81,1
700,172.22.1.80,1
701,172.24.1.80,1
702,172.22.1.81,1
703,172.24.1.80,1
704,172.22.1.90,1
705,172.22.1.80,1
706,172.22.1.81,1
707,172.24.1.81,1
708,172.24.1.81,1
709,172.22.1.80,1
710,172.24.1.81,1
711,172.24.1.80,1
712,172.22.1.90,1
713,172.24.1.81,1
714,172.23.1.80,1
715,172.22.1.90,1
716,172.24.1.81,1
717,172.24.1.81,1
718,172.24.1.80,1
719,172.22.1.80,1
720,172.24.1.80,1
721,172.22.1.81,1
722,172.23.1.80,1
723,172.22.1.90,1
724,172.24.1.81,1
725,172.24.1.81,1
726,172.22.1.80,1
727,172.22.1.80,1
728,172.24.1.80,1
729,172.22.1.90,1
730,172.24.1.81,1
731,172.22.1.80,1
732,172.24.1.81,1
733,172.24.1.80,1
734,172.22.1.80,1
735,172.22.1.80,1
736,172.24.1.81,1
737,172.22.1.81,1
738,172.24.1.81,1
739,172.22.1.81,1
740,172.22.1.90,1
741,172.22.1.90,1
742,172.22.1.90,1
743,172.24.1.81,1
744,172.24.1.81,1
745,172.22.1.80,1
746,172.22.1.80,1
747,172.22.1.90,1
748,172.22.1.80,1
749,172.22.1.80,1
750,172.23.1.80,1
751,172.24.1.81,1
752,172.24.1.80,1
753,172.22.1.80,1
754,172.22.1.81,1
755,172.22.1.81,1
756,172.24.1.81,1
757,172.22.1.80,1
758,172.22.1.80,1
759,172.24.1.81,1
760,172.22.1.90,1
761,172.22.1.80,1
762,172.22.1.80,1
763,172.23.1.80,1
764,172.22.1.90,1
765,172.22.1.90,1
766,172.22.1.81,1
767,172.24.1.81,1
768,172.24.1.81,1
769,172.22.1.80,1
770,172.22.1.90,1
771,172.24.1.81,1
772,172.22.1.81,1
773,172.22.1.80,1
774,172.21.1.80,1
775,172.24.1.81,1
776,172.23.1.80,1
777,172.24.1.80,1
778,172.22.1.81,1
779,172.22.1.90,1
780,172.22.1.80,1
781,172.24.1.81,1
782,172.24.1.80,1
783,172.23.1.81,1
784,172.23.1.80,1
785,172.22.1.80,1
786,172.22.1.81,1
787,172.22.1.81,1
788,172.22.1.80,1
789,172.23.1.80,1
790,172.21.1.80,1
791,172.22.1.90,1
792,172.21.1.80,1
793,172.22.1.80,1
794,172.22.1.81,1
795,172.22.1.90,1
796,172.24.1.80,1
797,172.22.1.81,1
798,172.22.1.81,1
799,172.22.1.80,1
800,172.23.1.80,1
801,172.22.1.81,1
802,172.24.1.81,1
803,172.24.1.81,1
804,172.24.1.80,1
805,172.22.1.81,1
806,172.22.1.90,1
807,172.24.1.81,1
808,172.21.1.80,1
809,172.22.1.81,1
810,172.24.1.80,1
811,172.22.1.80,1
812,172.21.1.80,1
813,172.22.1.81,1
814,172.22.1.81,1
815,172.23.1.80,1
816,172.22.1.81,1
817,172.22.1.80,1
818,172.22.1.81,1
819,64.233.168.189,6
820,172.22.1.81,1
821,172.21.1.80,1
822,172.21.1.80,1
823,54.225.191.62,5
824,23.23.118.28,2
825,50.17.246.68,5
826,50.17.246.68,5
827,172.21.1.80,1
828,172.21.1.80,1
829,172.22.1.80,1
830,172.22.1.90,1
831,172.22.1.90,1
832,172.21.1.80,1
833,172.22.1.81,1
834,172.24.1.81,1
835,172.22.1.81,1
836,172.23.1.80,1
837,172.23.1.81,1
838,172.22.1.90,1
839,172.21.1.80,1
840,172.23.1.80,1
841,172.23.1.80,1
842,172.22.1.81,1
843,172.24.1.80,1
844,172.24.1.81,1
845,172.24.1.80,1
846,172.22.1.81,1
847,172.21.1.80,1
848,54.225.191.62,5
849,172.21.1.81,1
850,50.17.246.68,5
851,23.23.118.28,2
852,50.17.246.68,5
853,50.17.246.68,5
854,172.22.1.81,1
855,172.23.1.80,1
856,50.17.246.68,5
857,23.23.118.28,2
858,172.23.1.80,1
859,172.22.1.90,1
860,172.22.1.81,1
861,172.21.1.80,1
862,172.21.1.80,1
863,172.24.1.80,1
864,172.24.1.81,1
865,172.22.1.90,1
866,172.24.1.81,1
867,172.21.1.81,1
868,54.243.185.199,5
869,172.22.1.90,1
870,172.24.1.80,1
871,50.17.246.68,5
872,23.23.118.28,2
873,50.17.246.68,5
874,172.21.1.80,1
875,172.22.1.81,1
876,172.22.1.81,1
877,172.24.1.81,1
878,172.24.1.81,1
879,172.21.1.81,1
880,50.17.246.68,5
881,50.17.246.68,5
882,23.23.118.28,2
883,50.17.246.68,5
884,50.17.246.68,5
885,54.225.191.62,5
886,64.233.180.189,6
887,172.23.1.80,1
888,172.22.1.81,1
889,172.22.1.81,1
890,172.22.1.90,1
891,172.24.1.81,1
892,172.22.1.80,1
893,172.23.1.80,1
894,172.22.1.80,1
895,172.23.1.80,1
896,172.24.1.81,1
897,172.23.1.80,1
898,172.21.1.81,1
899,172.22.1.81,1
900,172.21.1.81,1
901,172.24.1.81,1
902,172.22.1.81,1
903,172.22.1.81,1
904,172.22.1.90,1
905,172.22.1.81,1
906,172.22.1.81,1
907,172.21.1.80,1
908,172.22.1.90,1
909,172.22.1.90,1
910,50.17.246.68,5
911,54.225.191.62,5
912,23.23.118.28,2
913,50.17.246.68,5
914,54.221.220.135,5
915,64.233.168.189,6
916,172.24.1.81,1
917,172.21.1.81,1
918,172.23.1.80,1
919,172.22.1.90,1
920,172.24.1.81,1
921,172.22.1.80,1
922,172.22.1.81,1
923,172.24.1.81,1
924,172.22.1.81,1
925,172.23.1.80,1
926,172.22.1.81,1
927,172.21.1.80,1
928,172.23.1.80,1
929,172.22.1.81,1
930,172.21.1.81,1
931,172.22.1.81,1
932,172.23.1.80,1
933,172.22.1.81,1
934,172.21.1.81,1
935,172.22.1.81,1
936,172.21.1.81,1
937,172.22.1.90,1
938,172.22.1.90,1
939,172.24.1.81,1
940,172.22.1.80,1
941,172.21.1.80,1
942,172.23.1.80,1
943,172.21.1.80,1
944,172.21.1.81,1
945,172.21.1.81,1
946,172.21.1.80,1
947,50.17.246.68,5
948,23.23.118.28,2
949,54.225.191.62,5
950,50.17.246.68,5
951,50.17.246.68,5
952,50.17.246.68,5
953,50.17.246.68,5
954,23.23.118.28,2
955,50.17.246.68,5
956,54.225.191.62,5
957,172.22.1.80,1
958,172.22.1.81,1
959,50.17.246.68,5
960,23.23.118.28,2
961,50.17.246.68,5
962,50.17.246.68,5
963,172.21.1.80,1
964,172.24.1.81,1
965,172.22.1.81,1
966,172.22.1.80,1
967,172.22.1.90,1
968,172.22.1.90,1
969,172.21.1.80,1
970,172.24.1.81,1
971,172.22.1.80,1
972,172.22.1.81,1
973,172.24.1.81,1
974,172.24.1.81,1
975,172.22.1.90,1
976,172.23.1.80,1
977,172.22.1.81,1
978,172.24.1.81,1
979,172.23.1.80,1
980,172.21.1.80,1
981,172.21.1.81,1
982,172.23.1.80,1
983,172.24.1.81,1
984,172.21.1.81,1
985,172.23.1.80,1
986,172.22.1.81,1
987,172.21.1.81,1
988,172.22.1.81,1
989,172.22.1.90,1
990,50.17.246.68,5
991,54.225.191.62,5
992,64.233.180.189,6
993,50.17.246.68,5
994,23.23.118.28,2
995,50.17.246.68,5
996,50.17.246.68,5
997,50.17.246.68,5
998,23.23.118.28,2
999,54.225.191.62,5
1000,50.17.246.68,5
1001,50.17.246.68,5
1002,54.225.191.62,5
1003,107.21.104.168,1
1004,50.17.246.68,5
1005,50.17.246.68,5
1006,50.17.246.68,5
1007,50.17.246.68,5
1008,172.21.1.81,1
1009,172.21.1.81,1
1010,172.22.1.81,1
1011,172.21.1.81,1
1012,172.22.1.90,1
1013,172.23.1.80,1
1014,172.24.1.81,1
1015,172.23.1.80,1
1016,172.21.1.81,1
1017,172.22.1.80,1
1018,172.23.1.80,1
1019,172.23.1.80,1
1020,172.22.1.90,1
1021,172.24.1.81,1
1022,172.22.1.81,1
1023,172.23.1.80,1
1024,107.21.104.168,1
1025,172.23.1.80,1
1026,172.21.1.80,1
1027,172.23.1.80,1
1028,172.22.1.80,1
1029,172.24.1.81,1
1030,172.24.1.81,1
1031,64.233.180.189,6
1032,172.21.1.80,1
1033,172.23.1.80,1
1034,172.22.1.90,1
1035,172.21.1.80,1
1036,172.23.1.80,1
1037,107.21.104.168,1
1038,172.24.1.81,1
1039,172.23.1.80,1
1040,172.22.1.81,1
1041,172.23.1.80,1
1042,172.21.1.80,1
1043,172.22.1.80,1
1044,172.22.1.81,1
1045,172.23.1.80,1
1046,172.23.1.80,1
1047,172.22.1.80,1
1048,172.23.1.80,1
1049,172.22.1.90,1
1050,172.21.1.81,1
1051,172.22.1.90,1
1052,172.22.1.90,1
1053,172.22.1.90,1
1054,172.22.1.90,1
1055,172.21.1.80,1
1056,172.24.1.81,1
1057,172.23.1.80,1
1058,172.24.1.81,1
1059,172.23.1.80,1
1060,107.21.104.168,1
1061,107.21.104.168,1
1062,64.233.168.189,6
1063,172.24.1.81,1
1064,172.24.1.81,1
1065,172.22.1.90,1
1066,172.22.1.81,1
1067,172.23.1.80,1
1068,172.22.1.80,1
1069,172.22.1.81,1
1070,172.22.1.81,1
1071,172.23.1.80,1
1072,172.23.1.80,1
1073,172.22.1.80,1
1074,172.21.1.81,1
1075,172.22.1.90,1
1076,172.24.1.80,1
1077,172.22.1.81,1
1078,172.24.1.81,1
1079,172.23.1.80,1
1080,172.21.1.81,1
1081,172.23.1.80,1
1082,172.22.1.81,1
1083,172.24.1.81,1
1084,172.22.1.81,1
1085,172.23.1.80,1
1086,172.22.1.81,1
1087,172.22.1.81,1
1088,172.23.1.80,1
1089,172.22.1.80,1
1090,172.22.1.81,1
1091,172.21.1.81,1
1092,172.22.1.81,1
1093,172.24.1.80,1
1094,172.22.1.90,1
1095,172.22.1.81,1
1096,172.22.1.81,1
1097,172.23.1.80,1
1098,172.22.1.90,1
1099,172.22.1.81,1
1100,172.23.1.80,1
1101,172.22.1.81,1
1102,172.24.1.81,1
1103,172.23.1.80,1
1104,172.23.1.80,1
1105,172.22.1.81,1
1106,172.23.1.80,1
1107,172.22.1.80,1
1108,172.21.1.81,1
1109,172.22.1.81,1
1110,172.22.1.81,1
1111,172.22.1.81,1
1112,172.24.1.81,1
1113,172.22.1.80,1
1114,172.22.1.90,1
1115,172.23.1.80,1
1116,172.22.1.81,1
1117,172.22.1.80,1
1118,172.23.1.80,1
1119,172.22.1.81,1
1120,172.22.1.81,1
1121,172.22.1.90,1
1122,172.22.1.81,1
1123,172.22.1.81,1
1124,172.22.1.81,1
1125,172.22.1.81,1
1126,172.22.1.90,1
1127,172.23.1.80,1
1128,172.24.1.80,1
1129,172.217.14.174,1
1130,172.22.1.81,1
1131,172.22.1.80,1
1132,172.23.1.80,1
1133,172.22.1.80,1
1134,172.217.14.174,1
1135,172.21.1.81,1
1136,172.24.1.81,1
1137,172.22.1.80,1
1138,172.22.1.81,1
1139,172.22.1.80,1
1140,172.23.1.80,1
1141,172.24.1.80,1
1142,172.24.1.81,1
1143,172.22.1.90,1
1144,172.22.1.80,1
1145,172.22.1.80,1
1146,172.24.1.80,1
1147,172.23.1.80,1
1148,172.22.1.90,1
1149,172.22.1.81,1
1150,172.23.1.80,1
1151,172.23.1.80,1
1152,172.22.1.81,1
1153,172.23.1.80,1
1154,172.22.1.81,1
1155,172.24.1.81,1
1156,172.22.1.90,1
1157,172.22.1.80,1
1158,172.22.1.81,1
1159,172.22.1.81,1
1160,172.22.1.80,1
1161,192.168.0.9,1
1162,34.239.253.124,3
1163,172.22.1.81,1
1164,172.22.1.81,1
